LECROYWP7300A,47067,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,04-Dec-2018 14:53:41,0                 
Time,Ampl
-2.502e-007,0.000260385
-2.5e-007,0.000400856
-2.498e-007,0.000568735
-2.496e-007,0.000565309
-2.494e-007,0.000376873
-2.492e-007,0.000226124
-2.49e-007,0.000311777
-2.488e-007,0.000602997
-2.486e-007,0.000849677
-2.484e-007,0.000835973
-2.482e-007,0.000585866
-2.48e-007,0.000298072
-2.478e-007,0.000205567
-2.476e-007,0.000387151
-2.474e-007,0.000657815
-2.472e-007,0.00076745
-2.47e-007,0.000616701
-2.468e-007,0.000356316
-2.466e-007,0.000208993
-2.464e-007,0.000332333
-2.462e-007,0.000630406
-2.46e-007,0.000805138
-2.458e-007,0.000698928
-2.456e-007,0.000445395
-2.454e-007,0.000256959
-2.452e-007,0.000301498
-2.45e-007,0.000544753
-2.448e-007,0.000764024
-2.446e-007,0.000729763
-2.444e-007,0.000455674
-2.442e-007,0.000226124
-2.44e-007,0.000260385
-2.438e-007,0.000510492
-2.436e-007,0.000774303
-2.434e-007,0.000822268
-2.432e-007,0.000609849
-2.43e-007,0.00033576
-2.428e-007,0.000284368
-2.426e-007,0.000483083
-2.424e-007,0.000716059
-2.422e-007,0.000788007
-2.42e-007,0.000575588
-2.418e-007,0.000274089
-2.416e-007,0.000164454
-2.414e-007,0.000328907
-2.412e-007,0.000626979
-2.41e-007,0.000791433
-2.408e-007,0.000664667
-2.406e-007,0.000400856
-2.404e-007,0.000239828
-2.402e-007,0.000315203
-2.4e-007,0.000589292
-2.398e-007,0.000846251
-2.396e-007,0.000832547
-2.394e-007,0.000572162
-2.392e-007,0.000294646
-2.39e-007,0.000236402
-2.388e-007,0.000445395
-2.386e-007,0.000678371
-2.384e-007,0.000716059
-2.382e-007,0.000531048
-2.38e-007,0.000325481
-2.378e-007,0.000298072
-2.376e-007,0.000462526
-2.374e-007,0.000650962
-2.372e-007,0.000681797
-2.37e-007,0.000510492
-2.368e-007,0.000308351
-2.366e-007,0.000311777
-2.364e-007,0.000551605
-2.362e-007,0.000825694
-2.36e-007,0.000880512
-2.358e-007,0.000637258
-2.356e-007,0.000284368
-2.354e-007,8.5653e-005
